id,swedish,status,severity,verdict,add_or_fix,direction,issue,why,verifier_note,current_properties
ravioli,ravioli,draft,danger,confirmed,egg,missing-property,Ravioli lacks egg and dairy despite fresh egg-pasta shell and typically cheese (ricotta) filling; marked vegan-friendly,Store ravioli is nearly always egg pasta with cheese-based filling → false free-from egg/mjölk verdicts.,"Row: contains-gluten,plant-based,vegan-friendly only. Store ravioli is nearly always egg pasta with cheese-based filling → false free-from ägg/mjölk, and vegan-friendly is plainly wrong.","contains-gluten,plant-based,vegan-friendly"
ready-pesto,färdig pesto,draft,danger,confirmed,dairy,missing-property,Färdig pesto lacks dairy/contains-lactose and is marked vegan-friendly,Jarred pesto (green) almost always contains parmesan/grana padano and pecorino → milk allergen missing.,Row has tree-nut but is plant-based/vegan-friendly with no dairy. Jarred green pesto standardly contains parmesan/pecorino → false 'fri från mjölk'.,"plant-based,processed,tree-nut,vegan-friendly"
ready-tikka-masala,färdig tikka masala,draft,danger,confirmed,dairy,missing-property,Färdig tikka masala lacks dairy and is marked vegan-friendly,Tikka masala jar sauces standardly contain cream and/or yoghurt; also frequently almond (tree-nut). Missing dairy → false free-from mjölk.,"Row is plant-based/vegan-friendly, no dairy. Jar tikka masala sauces (Santa Maria etc.) standardly contain cream and/or yoghurt, often almond → false free-from mjölk.","plant-based,processed,vegan-friendly"
reindeer-blood-sausage,renblodkorv,draft,danger,confirmed,contains-gluten,missing-property,Renblodkorv lacks contains-gluten,Blood sausage recipes (incl. renblodkorv) use rye/barley/wheat flour as binder; same false gluten-free risk as blodkorv.,"Row has game,meat but no gluten. Blood sausage incl. renblodkorv uses rye/barley/wheat flour as the standard binder — same false gluten-free risk.","animal-product,game,meat,processed"
remoulade,remouladsås,draft,danger,confirmed,mustard,missing-property,Remouladsås lacks mustard (senap),Danish/Swedish remoulade recipes and commercial products contain mustard as a standard ingredient; egg is present but senap is missing → false 'fri från senap'.,"Row has egg but no mustard. Scandinavian remoulade (Danish-style, Rydbergs etc.) standardly contains senap/mustard seed — an EU-listed allergen → false 'fri från senap'.","animal-product,egg,processed"
rom,rom,draft,danger,confirmed,fish,bad-alias,'rom' (the rum beverage) collides with Swedish 'rom' = fish roe,"In recipe text 'rom' very often means fiskrom (roe), which carries fish. Matching it to an alcohol beverage entry yields a false free-from-fisk verdict. The entry needs disambiguation (e.g. 'mörk rom') or a guard.",Row 'rom' = rum with no fish property and no disambiguating aliases. In Swedish recipe text 'rom' frequently means fiskrom; a bare-word match maps roe to an alcohol row → false fisk-free verdict. Needs disambiguation.,"contains-alcohol,plant-based,vegan-friendly"
sandwich-sauce,smörgåssås,validated,danger,confirmed,egg,missing-property,Smörgåssås marked plant-based/vegan without egg,Smörgåssås is a mayonnaise-based condiment (mayo + cream/yoghurt) — egg and usually dairy. Missing egg gives a false 'free from ägg' verdict; validated status makes it worse.,"Row (line 1655) is plant-based/vegan-friendly with no egg/dairy; description itself says 'Tunn remoulad-liknande sås' — remoulade is mayonnaise-based, so egg is genuinely typical. False 'fri från ägg', and status=validated.","plant-based,vegan-friendly"
shrimp-paste,räkost,validated,danger,confirmed,dairy,missing-property,"Named 'räkost' (shrimp cheese spread, Kalles-style) but lacks dairy/contains-lactose (and typically egg); räkost is a dairy product",Swedish räkost is a cheese-based spread; a milk-allergic user would get a false 'free from mjölk'. Also a confused mapping: 'shrimp paste' (SE-Asian fermented) and räkost are different products.,Row (Swedish name räkost) has crustacean but no dairy/contains-lactose. Räkost is a cheese-based spread (Kalles-style tube) — dairy is core composition → false 'fri från mjölk'. Also a genuine EN/SV mapping confusion (SE-Asian shrimp paste vs räkost).,"animal-product,crustacean,needs-cooking,processed,seafood"
skaldjursfond,skaldjursfond,validated,danger,confirmed,crustacean,missing-property,"Shellfish stock has only 'seafood', missing crustacean (and fish per alias 'fiskkraft')",Skaldjursfond is made from crustacean shells (often with fish); the kräftdjur and fisk allergen checks won't trigger on generic 'seafood' alone.,Shellfish stock is made from crustacean shells (and per alias 'fiskkraft' often fish); row has only generic 'seafood'. kräftdjur (and fisk) verdicts falsely free → confirmed.,"animal-product,processed,seafood"
small-beer,svagdricka,draft,danger,confirmed,contains-gluten,missing-property,Svagdricka lacks contains-gluten,"Svagdricka is brewed from malted barley (korn) — a fermented, non-distilled malt beverage carries gluten, like beer. Alcohol is tagged but gluten is not.","Row has contains-alcohol but no gluten. Svagdricka is a fermented, non-distilled malted-barley beverage — carries gluten like beer.","contains-alcohol,plant-based,vegan-friendly"
speculaas,speculaas,validated,danger,confirmed,contains-gluten,missing-property,Spekulatius spice cookies are wheat-based (usually with butter) but carry no contains-gluten,Speculaas is a wheat cookie; often contains butter (dairy) too. False 'free from gluten' verdict.,"Marked vegan-friendly with no contains-gluten. Speculoos/spekulatius are wheat-flour cookies — gluten is invariant composition → false gluten-free. (Butter/dairy varies; famous brands are actually vegan, so dairy part weaker, but gluten miss stands.)","plant-based,processed,vegan-friendly"
spring-rolls-frozen,vårrullar frysta,draft,danger,confirmed,soy,missing-property,Frozen spring rolls missing soy (and possibly sesame),"Frozen vårrullar almost universally contain soy sauce in the filling; only gluten is tagged, so a 'free from soja' verdict would be false.","Row has gluten only, marked vegan-friendly. Frozen vårrullar fillings near-universally contain soy sauce (an EU allergen, not exempt like refined oil) → false 'fri från soja'.","contains-gluten,needs-cooking,plant-based,processed,vegan-friendly"
ssamjang,ssamjang,draft,danger,confirmed,contains-gluten,missing-property,Ssamjang missing contains-gluten,"Ssamjang is doenjang + gochujang; commercial gochujang and doenjang almost always contain wheat. Soy is tagged, gluten is not.",Row 1764 tags soy only. Commercial ssamjang (doenjang+gochujang base) almost always declares wheat; gluten-free versions are specialty items. Typical composition rule → gluten should be present.,"plant-based,processed,soy,vegan-friendly"
streusel,streusel,validated,danger,confirmed,contains-gluten,missing-property,Streusel/smulpaj crumble is wheat flour + butter but marked plant-based/vegan with no gluten or dairy,"Crumble topping is flour, butter, sugar — missing contains-gluten AND dairy/contains-lactose produces false free-from gluten and mjölk.","Marked plant-based/vegan-friendly, no contains-gluten or dairy. Streusel/smulpaj topping is by definition wheat flour + butter + sugar → false free-from gluten AND mjölk. Gluten miss alone is dangerous.","plant-based,processed,vegan-friendly"
surimi,surimi,draft,danger,confirmed,"contains-gluten, egg",missing-property,Surimi lacks contains-gluten and egg despite fish-only props,"Commercial surimi/crabsticks almost always contain wheat starch and egg white as binders; with only fish tagged, recipes would show false 'free from gluten/ägg' verdicts.",Row has fish only. Commercial surimi/crabsticks almost universally use wheat starch and egg white as binders → false gluten-free and egg-free verdicts.,"animal-product,fish,processed,seafood"
swede-casserole,kålrotslåda,draft,danger,confirmed,"egg, contains-gluten",missing-property,Kålrotslåda missing egg and gluten; alias 'rotmos' means a different dish,Traditional kålrotslåda contains egg and breadcrumbs/flour. Also bad-alias: rotmos is mashed swede+potato with no egg/gluten/dairy required — matching 'rotmos' to this row gives wrong verdicts both ways.,"Row 1823 has dairy/lactose but no gluten or egg; traditional/ready kålrotslåda (lanttulaatikko-style) standardly contains ströbröd and egg — gluten missing is genuinely typical, egg very common. Alias 'rotmos' additionally maps a plain mash to a dairy row (wrong both directions). Confirmed on the gluten gap at minimum.","animal-product,contains-lactose,dairy,processed"
swedish-meatballs,köttbullar,draft,danger,confirmed,"contains-gluten, dairy, contains-lactose, pork",missing-property,"Köttbullar missing gluten, dairy and pork (only beef+egg present)","Classic Swedish köttbullar use blandfärs (pork+beef), breadcrumbs (wheat) and milk/cream — gluten-, milk- and pork-avoiding users get false free-from verdicts.","Row has only animal-product,beef,egg,meat. Classic köttbullar use blandfärs (pork+beef), ströbröd (wheat) and mjölk/grädde — gluten, dairy/lactose and pork are all genuinely typical and missing.","animal-product,beef,egg,meat,needs-cooking"
tartar-sauce,tartarsås,validated,danger,confirmed,egg,missing-property,Tartarsås/remoulad is mayonnaise-based but marked plant-based/vegan with no egg,Tartar sauce is mayo (egg) + pickles; often also mustard. Egg-allergic user gets false free-from ägg.,"Marked plant-based/vegan-friendly with no egg, yet the row's own Swedish description says 'Majonnäsbaserad sås' — mayonnaise = egg. False 'fri från ägg' confirmed; remoulad alias also typically implies mustard.","plant-based,processed,vegan-friendly"
tom-kha-paste,tom kha-pasta,validated,danger,confirmed,crustacean,missing-property,"Has only generic 'seafood', missing crustacean and fish",Tom kha paste typically contains shrimp paste and/or fish sauce; without crustacean/fish props the specific kräftdjur/fisk verdicts show falsely free. Generic 'seafood' only covers the combined skaldjur badge.,"Row asserts animal-product,seafood but lacks crustacean/fish. The data itself acknowledges seafood content (typ. shrimp paste/fish sauce), so the specific kräftdjur/fisk checks falsely show free; only the combined skaldjur badge is covered. Confirmed as data model asserts seafood presence.","animal-product,seafood"
tortellini,tortellini,draft,danger,confirmed,"egg, dairy",missing-property,Filled pasta missing egg and dairy properties,"Tortellini is typically egg pasta filled with cheese (ricotta/parmesan); it carries animal-product + contains-gluten only, so mjölk/laktos/ägg verdicts would be falsely 'free from'.",Row: animal-product + contains-gluten only. Tortellini is by definition egg pasta with cheese/meat filling; missing egg and dairy → false 'fri från ägg/mjölk'.,"animal-product,contains-gluten"
vaniljprotein,vaniljprotein,validated,danger,confirmed,dairy,missing-property,Marked plant-based/vegan but alias 'vassle vanilj' means whey protein (dairy),Whey protein is milk-derived; most 'vaniljprotein' is whey. Missing dairy + contains-lactose gives false free-from mjölk. Either add dairy or drop the vassle alias and vegan claim.,"Marked plant-based/vegan-friendly but alias 'vassle vanilj' = whey = milk-derived, and most vanilla protein powders sold in Sweden are whey. Missing dairy/contains-lactose → false 'fri från mjölk'. Either add dairy or split into separate plant/whey entries.","plant-based,processed,vegan-friendly"
veal-stock-concentrate,kalvfond koncentrat,draft,danger,confirmed,beef,missing-property,Kalvfond has meat but not beef,Kalv is bovine; a user avoiding nötkött would get a false free-from on recipes using kalvfond. Other veal row (veal) correctly carries beef.,"Row has meat but not beef. Kalv is bovine — anyone avoiding nötkött (allergy or otherwise) is exposed; the 'veal' row correctly carries beef, so this is an inconsistency too.","animal-product,meat,processed"
vegan-feta,vegansk fetaost,draft,danger,confirmed,soy,missing-property,Alias 'tofu-feta' on a row with no soy property,Tofu-feta is a soy product; alias match produces false soja-free verdict.,Alias 'tofu-feta' confirmed; row carries no soy. Tofu is soy by definition → false soja-free verdict.,"plant-based,vegan-friendly"
vegan-parmesan,vegansk parmesan,draft,danger,confirmed,tree-nut,missing-property,Alias 'nötparmesan' (nut parmesan) on a row with no tree-nut property,Vegan parmesan aliased as nut-based (typically cashew) but carries no tree-nut → false nötter-free verdict.,Alias 'nötparmesan' confirmed; row has no tree-nut. Vegan parmesan is typically cashew/almond-based → false nötter-free verdict via a nut-named alias.,"plant-based,vegan-friendly"
vegan-quark,vegansk kvarg,draft,danger,confirmed,soy,missing-property,Alias 'sojaqvarg' on a row with no soy property,Soy-based vegan quark matched via this alias would be reported soja-free.,"Alias 'sojaqvarg' confirmed; row has only plant-based,vegan-friendly, no soy. Soy-named product → false soja-free verdict.","plant-based,vegan-friendly"
vegetable-broth,grönsaksbuljong,validated,danger,confirmed,celery,missing-property,Grönsaksbuljong missing celery,Virtually all Swedish grönsaksbuljong cubes/fond list selleri among ingredients; celery is an EU-14 allergen and is absent.,"Row has no celery. Essentially all Swedish grönsaksbuljong products (Knorr, Kockens, fond) list selleri, an EU-14 allergen. Validated row, dangerous miss.","plant-based,vegan-friendly"
veggie-sausage,vegetarisk korv,draft,danger,confirmed,soy,missing-property,Vegetarisk korv aliased 'sojakorv' but carries no soy (and likely gluten),The alias explicitly names a soy product; matching 'sojakorv' to a row without soy yields a false soja-free verdict. Veggie sausages also commonly contain wheat protein.,Alias 'sojakorv' confirmed on row with no soy (and no gluten). An explicitly soy-named product matching a soy-free row is a clear false soja-free path; veggie sausages also typically contain soy or wheat protein.,needs-cooking
vitvinssås,vitvinssås,validated,danger,confirmed,dairy,missing-property,"Marked plant-based/vegan but aliased 'smörsås' (butter sauce); white wine sauce is normally cream/butter based, missing dairy",Beurre-blanc-style vitvinssås contains butter/cream; the alias directly names a dairy sauce while props say vegan-friendly.,Marked plant-based/vegan-friendly but aliased 'smörsås' (butter sauce); classic vitvinssås is butter/cream-mounted. The alias directly names a dairy product while props claim vegan → false 'fri från mjölk'.,"contains-alcohol,plant-based,processed,sulfites,vegan-friendly"
wok-sauce,woksås,draft,danger,confirmed,contains-gluten,missing-property,Ready woksås missing contains-gluten,Ready-made wok/stir-fry sauces are soy-sauce based; standard soja is brewed with wheat (the register's own soy-sauce-generic row correctly carries contains-gluten). Soy is tagged but gluten is not — false 'free from gluten'.,"Row 1767 tags soy but not gluten. Ready-made wok/stir-fry sauces are built on standard brewed soy sauce, which contains wheat in the overwhelmingly typical Swedish retail product. Missing contains-gluten → false gluten-free.","plant-based,processed,soy,vegan-friendly"
worcestershire,worcestershiresås,draft,danger,confirmed,contains-gluten,missing-property,Worcestershiresås missing contains-gluten,Standard Worcestershire (Lea & Perrins EU) is made on barley malt vinegar → gluten; fish is correctly present but gluten is not.,Row carries fish but no contains-gluten. EU-market Worcestershire (Lea & Perrins) is made on barley malt vinegar and labels korn as an allergen — gluten miss is real.,"animal-product,fish,processed,seafood"
curry-paste-green,grön currypasta,draft,danger,uncertain,crustacean/fish,missing-property,Marked plant-based/vegan-friendly with no crustacean or fish property,Traditional and many commercial Thai green curry pastes (e.g. Mae Ploy) contain räkpasta (shrimp paste) and sometimes fish sauce; a shellfish-allergic user could get a false 'free from kräftdjur' verdict.,"Row 442 marked plant-based/vegan-friendly, no crustacean/fish. Common Thai brands sold in Sweden (Mae Ploy) contain räkpasta, but common supermarket brands (Santa Maria, Blue Dragon) are vegan. Split market — genuinely-typical-in-part, so uncertain rather than refuted; the explicit vegan-friendly tag makes the omission riskier.","is-spicy,nightshade,plant-based,vegan-friendly"
curry-paste-red,röd currypasta,draft,danger,uncertain,crustacean/fish,missing-property,Marked plant-based/vegan-friendly with no crustacean or fish property,"Red Thai curry paste commonly contains shrimp paste/fish sauce; missing crustacean produces a false free-from verdict. Generic aliases ('currypasta','curry paste') widen the blast radius.","Row 443 same pattern as green paste; shrimp paste common in Thai-brand pastes but absent in major Swedish supermarket brands. Generic aliases ('currypasta','curry paste') widen exposure. Uncertain.","nightshade,plant-based,vegan-friendly"
curry-paste-yellow,gul currypasta,draft,danger,uncertain,crustacean/fish,missing-property,Marked plant-based/vegan-friendly with no crustacean or fish property,Yellow Thai curry paste frequently contains shrimp paste; same false 'free from kräftdjur/fisk' risk as the other pastes.,"Row 444 same brand-split as green/red pastes — shrimp paste frequent in Thai brands, absent in Santa Maria/Blue Dragon lines. Uncertain.","nightshade,plant-based,vegan-friendly"
kimchi,kimchi,draft,danger,uncertain,crustacean,missing-property,Traditional kimchi commonly contains shrimp paste (saeujeot) but row lacks crustacean,"Row already conservatively carries fish (fish sauce) but not crustacean; shrimp paste is at least as common, so a crustacean allergic gets a false 'fri från kräftdjur/skaldjur'.","Row 688 carries fish but not crustacean. Traditional kimchi commonly uses saeujeot (shrimp paste), but Swedish/Western retail kimchi frequently uses only fish sauce or is vegan. Common-but-not-universal → uncertain; since the row already accepts fish, adding crustacean would be the consistent cautious call.","animal-product,fish,is-spicy,seafood"
massaman-curry-paste,massaman currypasta,draft,danger,uncertain,"peanut, crustacean",missing-property,Missing peanut and crustacean (shrimp paste); also wrongly marked vegan-friendly,"Traditional massaman curry paste nearly always contains peanuts and Thai commercial pastes typically contain räkpasta (shrimp paste) and often fish sauce. As tagged, a recipe with it would be marked free from jordnöt and kräftdjur — a dangerous false verdict. vegan-friendly is also wrong for shrimp-paste-containing pastes.","Row 794 marked plant-based/vegan-friendly. Crustacean: Thai brands (Mae Ploy) contain shrimp paste — same brand-split as the other pastes. Peanut: the finished dish nearly always has peanuts but the paste itself often does not (Mae Ploy massaman paste lists no peanut), so the peanut half of the claim is weak. Net: uncertain.","nightshade,plant-based,vegan-friendly"
ponzu,ponzu,draft,danger,uncertain,fish,missing-property,Traditional ponzu (ponzu shōyu) commonly contains bonito/dashi — fish property missing and 'vegan-friendly' likely wrong,Many commercial ponzu sauces include katsuobushi (bonito) extract. Missing 'fish' can produce a false fish-free verdict. Gluten+soy are correctly present.,"Row has gluten+soy but no fish and claims vegan-friendly. Traditional ponzu shōyu and many commercial ones (incl. Kikkoman) contain bonito/katsuobushi, but genuinely fish-free ponzu is also common on shelves. Typical-but-not-universal → uncertain, worth adding fish or dropping vegan-friendly.","contains-gluten,plant-based,soy,vegan-friendly"
tapenade,tapenade,validated,danger,uncertain,fish,missing-property,Classic tapenade contains anchovy but has no fish property,"Traditional and most commercial olive tapenade includes ansjovis/sardeller; also 'plant-based,vegan-friendly' is wrong for the same reason. False 'free from fisk' verdict possible.","Row is plant-based/vegan-friendly, no fish. Classic tapenade includes anchovy and many jars do, but plenty of commercial tapenades are olive/caper-only and genuinely vegan. Typical-but-variable → uncertain; vegan-friendly flag is risky.","plant-based,vegan-friendly"
vanilla-sauce,vaniljsås,validated,danger,uncertain,egg,missing-property,Vaniljsås (custard) typically contains egg yolk but has no egg property,Traditional vaniljsås/vaniljkräm is an egg-yolk custard; only some store-bought variants are egg-free. Missing egg risks a false free-from ägg.,"Row already has dairy+contains-lactose but no egg. Traditional vaniljsås/vaniljkräm is egg-yolk custard, but the common Swedish everyday product (Marsán powder, many ready-made cartons) is egg-free — composition genuinely splits, so missing egg is a plausible but not typical-composition gap.","animal-product,contains-lactose,dairy"
black-bean-sauce,svartbönssås,draft,danger,refuted,contains-gluten,missing-property,Black bean sauce lacks contains-gluten,"Commercial svartbönssås is almost always made with fermented soybeans plus wheat flour/soy sauce containing wheat; soy is tagged but gluten is not, producing a false gluten-free verdict.","Row 153 tagged soy but no gluten. Leading products (e.g. Lee Kum Kee black bean garlic sauce) list no wheat; wheat presence is brand-dependent via added soy sauce, not typical composition. 'Sometimes contains' → legitimate omission per the verification standard.","plant-based,processed,soy,vegan-friendly"
bbq-sauce,bbq-sås,draft,medium,-,sulfites,missing-property,BBQ-sås likely missing sulfites (and often mustard),Commercial barbecue sauce is vinegar-based (sulfites) and many brands include senap; as a processed compound condiment it should carry at least sulfites like the other vinegar rows.,,"nightshade,plant-based,processed,vegan-friendly"
bearnaise,bearnaisesås,draft,medium,-,sulfites,missing-property,Bearnaisesås likely missing sulfites,Bearnaise is built on a white-wine/vinegar reduction; wine and vinegar commonly carry sulfites (cf. balsamic-vinegar and apple-cider-vinegar rows which have it).,,"animal-product,contains-lactose,dairy,doesnt-freeze-well,egg"
beef-veal-cutlet,kalvschnitzel,draft,medium,-,contains-gluten,bad-alias,"Alias 'wiener schnitzel' names the breaded dish, not the plain cut","Kalvschnitzel the raw cut is allergen-free beyond meat, but 'wiener schnitzel' colloquially means the breaded/egg-dipped preparation (gluten + egg); matching that text to this row could hide gluten/egg.",,"animal-product,beef,meat,needs-cooking"
bouillon-powder,buljongpulver,draft,medium,-,celery,bad-alias,Generic buljongpulver assumed plant-based/vegan with alias 'fond pulver',"'Fond pulver' colloquially covers meat/fish fond powders, and Swedish bouillon powders commonly contain celery; the row would match animal fond powders yet report vegan/no meat/fish/celery.",,"plant-based,processed,vegan-friendly"
cheese-string,ostbågar,draft,medium,-,,bad-alias,"Swedish name/aliases 'ostbågar'/'ostsnacks' mean cheese puff snacks, not string cheese","Ostbågar are corn-based cheese-flavoured snacks (a different product); mapping them here misclassifies the ingredient, though dairy is still correctly carried so no free-from allergen risk.",,"animal-product,contains-lactose,dairy,processed"
chicken-broth,kycklingbuljong,draft,medium,-,celery,missing-property,Bouillon cube/powder lacks celery,Swedish buljongtärningar and buljongpulver very commonly contain selleri (declared allergen); missing celery gives a false 'free from selleri' on a compound product the prompt says deserves scrutiny.,,"animal-product,meat,poultry"
chicken-stock-concentrate,kycklingfond koncentrat,draft,medium,-,celery,missing-property,Fond/concentrate lacks celery,Kycklingfond concentrates typically include celery in the vegetable base; same false free-from-selleri risk as the bouillon row.,,"animal-product,meat,poultry,processed"
chocolate-chips,chokladknappar,validated,medium,-,dairy,missing-property,Marked vegan-friendly with no dairy/lactose,Chokladknappar/chokladdroppar sold in Sweden are often milk chocolate or contain milk fat; unqualified generic entry should carry dairy (or be split dark/milk) to avoid a false 'free from mjölk'.,,"plant-based,vegan-friendly"
cocktail-sausages,prinskorv,draft,medium,-,beef,missing-property,Prinskorv is typically a mixed pork/beef sausage; beef property missing,"Most Swedish prinskorv contains both fläsk- and nötkött (brand-dependent). Missing 'beef' can give a false nötkött-free verdict; less definitional than falukorv, hence medium.",,"animal-product,meat,needs-cooking,pork,processed"
cream-of-tartar,vinsyra,validated,medium,-,dairy/contains-lactose,wrong-property,"Marked animal-product,contains-lactose,dairy — cream of tartar is potassium bitartrate, plant-derived","Likely a 'cream'-in-name mistake; produces false 'contains mjölk/laktos'. Not dangerous but wrong, and validated status makes it sticky. Should be plant-based/vegan-friendly.",,"animal-product,contains-lactose,dairy"
cream-sauce,gräddsås,draft,medium,-,contains-gluten,missing-property,Gräddsås missing contains-gluten,Standard Swedish gräddsås is thickened with wheat flour (redning); only dairy is tagged.,,"animal-product,contains-lactose,dairy"
cream-soda-swedish,sockerdricka,validated,medium,-,dairy,wrong-property,Sockerdricka tagged animal-product/dairy/contains-lactose — it is a plain soft drink,"Sockerdricka is carbonated sugar water (no cream despite the English 'cream soda' id); dairy tags produce false 'contains mjölk/laktos' on a vegan drink, and the row is marked validated.",,"animal-product,contains-lactose,dairy"
egg-anchovy-salad,gubbröra,draft,medium,-,dairy,missing-property,Gubbröra lacks dairy despite crème fraîche/majonnäs being standard; alias 'sillröra' is a different dish,"Modern gubbröra recipes almost always include crème fraîche or majonnäs (dairy and/or extra egg — egg already tagged). Alias sillröra (herring spread) is a different dish but shares fish, so the alias is only mildly sloppy.",,"animal-product,egg,fish,seafood"
fish-soup,fisksoppa,draft,medium,-,"dairy, contains-lactose",missing-property,Ready fisksoppa missing dairy/lactose,"Ready-made fisksoppa is typically cream-based; only fish is tagged. Less certain than lobster soup (tomato variants exist), hence medium.",,"animal-product,fish,processed,seafood"
glass-noodles,glasnudlar,validated,medium,-,contains-gluten,wrong-property,Glass noodles (mung bean/cellophane noodles) carry contains-gluten but are made from mung bean or sweet-potato starch and are gluten-free,"Row is validated yet its own aliases (mungbönnudlar, bönstärkelse nudlar) confirm starch-based noodles; false 'contains gluten' unnecessarily blocks glutenfree recipes. Not dangerous but clearly wrong.",,"contains-gluten,plant-based,vegan-friendly"
hamburger-buns,hamburgerbröd,draft,medium,-,dairy,missing-property,Tagged plant-based/vegan-friendly with no dairy/egg; brioche-style hamburgerbröd with milk and egg is very common,"Generic buns vary: many Swedish store buns contain milk (and brioche buns egg). If the register's convention is conservative for compound bakery goods, this row should carry dairy (and possibly egg); currently gives false 'mjölkfri'.",,"contains-gluten,plant-based,vegan-friendly"
hamburger-dressing,hamburgerdressing,validated,medium,-,mustard,missing-property,Hamburger dressing has egg but no mustard; typical recipes/brands include mustard (senap),"Common ingredient in Swedish burgardressing (mayo+ketchup+senap+pickles); could produce a false senap-free verdict, though formulations vary.",,"animal-product,egg,processed"
lobster-soup,hummersoppa,draft,medium,-,"dairy, contains-lactose",missing-property,Ready hummersoppa missing dairy/lactose (and often gluten),Commercial lobster soup is nearly always cream-based and often flour-thickened; only crustacean is tagged.,,"animal-product,crustacean,processed,seafood"
mandelpotatis,mandelpotatis,draft,medium,-,tree-nut,wrong-property,"Mandelpotatis carries tree-nut — it is a potato variety, no almonds","'Mandel' is only the shape name; tagging tree-nut gives every recipe with almond potatoes a false 'contains nötter'. Also oddly missing from group scrutiny: nightshade is fine, tree-nut is not.",,"nightshade,plant-based,tree-nut,vegan-friendly"
miso-paste,misopasta,draft,medium,-,contains-gluten,missing-property,Generic miso may contain barley (mugi miso) — no contains-gluten,"Aliases cover generic 'miso' incl. red miso; barley-based misos carry gluten. Common shiro/rice miso is gluten-free, so this is borderline, but a catch-all miso row without contains-gluten can produce false gluten-free verdicts for celiacs.",,"plant-based,soy,vegan-friendly"
mushroom-chestnut,skogschampinjon,draft,medium,-,tree-nut,wrong-property,tree-nut property on a mushroom (kastanjechampinjon),"Chestnut mushroom is a champinjon variety with no nut content; the name confusion added tree-nut. Produces false 'contains nötter' — annoying, not dangerous, but clearly wrong (and chestnut itself isn't even an EU tree-nut allergen in the same sense).",,"plant-based,tree-nut,vegan-friendly"
mushroom-oyster,ostronskivling,validated,medium,-,animal-product,wrong-property,Tagged animal-product with no plant-based/vegan-friendly; oyster mushroom is a plant/fungus,"Ostronskivling is a mushroom; 'ostron' name confusion likely caused animal-product. No mollusc tag exists so no allergen false-negative, but the row is plainly wrong and would break vegan filtering.",,animal-product
musslor,musslor,validated,medium,-,fish,wrong-property,"Mussels carry the 'fish' property; they are mollusc, not fish",False 'contains fisk' — annoying not dangerous; mollusc/seafood already correct.,,"animal-product,fish,mollusc,needs-cooking,seafood"
mustard-dill-sauce,hovmästarsås,draft,medium,-,"dairy, contains-lactose, egg",wrong-property,"Hovmästarsås tagged dairy, contains-lactose and egg — classic hovmästarsås is oil-vinegar-mustard-dill with neither dairy nor egg","Mustard (the real allergen) is present; dairy/egg produce false 'contains' verdicts. Some variants use crème fraiche, so arguably conservative, but the standard recipe has none.",,"animal-product,contains-lactose,dairy,doesnt-freeze-well,egg,mustard"
oreo-cookies,oreokakor,draft,medium,-,soy,missing-property,Oreo missing soy (lecithin),"Oreos contain soy lecithin, which must be declared as soy in the EU (only fully refined soybean oil is exempt, lecithin is not). Milder because lecithin reactions are rare, but it's still a labeled allergen.",,"contains-gluten,plant-based,vegan-friendly"
pepparkakor,pepparkakor,draft,medium,-,dairy,missing-property,Pepparkakor tagged vegan-friendly with no dairy,"Homemade and many commercial pepparkakor contain butter; some store brands are vegan, so this is variant-dependent but the safe default is dairy.",,"contains-gluten,plant-based,vegan-friendly"
pralin,pralin,draft,medium,-,dairy,missing-property,Pralin lacks dairy and is marked vegan-friendly,Nötpraliner are typically chocolate-coated confectionery containing milk; tree-nut is present but dairy usually applies. Medium since composition varies (pure caramelized nuts exist).,,"plant-based,tree-nut,vegan-friendly"
rödvinssås,rödvinssås,validated,medium,-,meat,missing-property,Red wine sauce marked plant-based/vegan; typically made on meat fond and finished with butter,"Bordelaise (its own alias) is built on beef/veal stock and butter — missing meat and dairy. Medium since some versions are vegetarian, but the bordelaissås alias implies the classic.",,"contains-alcohol,plant-based,processed,sulfites,vegan-friendly"
sauce-forestiere,sauce forestiere,validated,medium,-,dairy,missing-property,Forestière mushroom sauce marked plant-based/vegan; classically a cream sauce,Skogssås/svampsås is almost always cream-based in Swedish usage; missing dairy/contains-lactose.,,"plant-based,processed,vegan-friendly"
senapsdressing,senapsdressing,validated,medium,-,egg,missing-property,Honey-mustard dressing has mustard but no egg despite often being mayo-based,Alias 'honung-senap' style dressings are frequently mayonnaise-based (egg); borderline since vinaigrette versions exist.,,"mustard,processed"
shea-butter,sheasmör,validated,medium,-,dairy,wrong-property,Sheasmör tagged animal-product + dairy; it is a pure plant fat,"Shea butter comes from the shea tree nut (not an Annex II tree nut, exempted like coconut); dairy/animal-product are flat-out wrong and would produce false 'contains mjölk' and hide it from vegan filtering.",,"animal-product,dairy"
snow-peas,haricots verts platta,validated,medium,-,,other,"Swedish name 'haricots verts platta' is wrong — haricots verts are green beans, not snow peas",Snow peas are 'sockerärtor/kinaärtor'; the name could cause matching of green-bean rows to this entry. No allergen impact but a real naming error.,,"plant-based,vegan-friendly"
soltorkad-tomat,soltorkad tomat,validated,medium,-,sulfites,missing-property,Sun-dried tomatoes commonly sulfite-treated and often oil-packed; also miscategorized as vegetable/leaf,Torkad frukt/grönsak is a classic sulfite carrier (register tags sulfites on vinäger/vin consistently but not here); group should be vegetable/fruit-veg.,,"nightshade,plant-based,vegan-friendly"
