id,swedish,english,group,properties,aliases_sv,aliases_en,search_terms,notes_sv,notes_en,season_availability,typical_storage,typical_unit,price_category,avg_price_sek,carbon_footprint_category,status,created_date,updated_date,created_by,verified_by,ai_generated,export_ready
hot-dog-buns,korvbröd,hot dog buns,grain/pasta-bread,contains-gluten,,hotdog buns,korvbröd hotdog buns,Till korv,For hot dogs,year-round,ambient,st,medium,50,low,draft,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
hot-sauce,het sås,hot sauce,other/condiment,"is-spicy,nightshade,plant-based,vegan-friendly",tabasco;chilisås;stark sås,tabasco;chili sauce,het sås tabasco hot sauce,Stark chilisås,Hot chili sauce,year-round,ambient,ml,medium,47,low,draft,2024-12-07 00:00:00,2024-12-07 00:00:00,ai-claude,,1,0
hp-sauce,hp-sås,hp sauce,other/condiment,"nightshade,plant-based,processed,vegan-friendly",brun sås;engelsk brun sås,brown sauce,hp sås brown sauce,Brittisk klassiker,British classic,year-round,ambient,ml,medium,60,low,draft,2024-12-07 00:00:00,2024-12-07 00:00:00,ai-claude,,1,0
hummus,hummus,hummus,other/condiment,"plant-based,sesame,vegan-friendly",humus;kikärtsröra,chickpea dip;houmous,hummus kikärtsröra,Kikärtsröra med tahini,Chickpea dip with tahini,year-round,refrigerated,g,medium,70,low,draft,2024-12-07 00:00:00,2024-12-07 00:00:00,ai-claude,,1,0
household-cheese,hushållsost,household cheese,protein/dairy,"animal-product,contains-lactose,dairy",husmanskost,Swedish mild cheese,hushållsost,Mejeriprodukt. Förvaras kallt.,Dairy product.,year-round,refrigerated,g,premium,140,low,draft,2025-12-13 00:00:00,2025-12-13 00:00:00,ai-batch,,1,0
ice-cream-vanilla,vaniljglass,vanilla ice cream,other/dessert,"animal-product,contains-lactose,dairy,egg,processed",glass;gräddglass,ice cream;gelato,vaniljglass,Mejeriprodukt. Förvaras fryst.,Dairy product.,year-round,frozen,ml,medium,70,medium,draft,2025-12-07 00:00:00,2025-12-07 00:00:00,ai-claude,,1,0
ide,id,ide,protein/seafood/fish,"animal-product,fish,needs-cooking,seafood",idfilé,ide;orfe,id,Fisk. Förvaras kallt.,Fish.,autumn,refrigerated,g,premium,170,low,draft,2025-12-07 00:00:00,2025-12-07 00:00:00,ai-claude,,1,0
idiazabal,idiazabal,idiazabal,protein/dairy,"animal-product,contains-lactose,dairy",baskisk rökt fårost,Basque smoked cheese,idiazabal,Mejeriprodukt. Förvaras kallt.,Dairy product.,year-round,refrigerated,g,medium,80,medium,draft,2025-12-07 00:00:00,2025-12-07 00:00:00,ai-claude,,1,0
impossible-meat,impossible meat,impossible meat,protein/plant-based,"needs-cooking,soy",sojabaserad köttsubstitut,plant-based ground,impossiblemeat,Sojabaserat,Soy based,year-round,refrigerated,g,medium,38,low,draft,2025-12-13 00:00:00,2025-12-13 00:00:00,ai-claude,,1,0
injera,injera,injera,grain/pasta-bread,"contains-gluten,plant-based,vegan-friendly",etiopiskt bröd;teffbröd,ethiopian bread;teff bread,injera etiopiskt teff,Syrligt etiopiskt bröd,Sour Ethiopian bread,year-round,refrigerated,st,medium,39,low,draft,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
instant-mashed-potato,potatismos pulver,instant mashed potato,vegetable/root,"nightshade,plant-based,processed,vegan-friendly",potatismospulver;snabbmos;felix mos,instant mash;potato flakes,potatismos;pulver;snabbmos;instant,Snabblagat potatismos. Bara tillsätt vatten/mjölk.,Quick mashed potato. Just add water/milk.,year-round,ambient,bag,budget,17,low,draft,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
instant-noodles,snabbnudlar,instant noodles,grain/pasta-bread,"contains-gluten,plant-based,vegan-friendly",instantnudlar;nudlar snabb;ramen instant,instant ramen;quick noodles,snabbnudlar instant noodles ramen,Snabblagade nudlar,Quick-cooking noodles,year-round,ambient,st,budget,22,low,draft,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
instant-oats,snabbhavregryn,instant oats,grain/cereal,"contains-gluten,plant-based,vegan-friendly",snabbhavre;minuthavregryn;lättkokt havre,quick oats;instant oatmeal,snabbhavregryn instant oats,Snabblagad havre,Quick-cooking oats,year-round,ambient,g,budget,30,low,draft,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
invert-sugar,invertsocker,invert sugar,other/sweetener,"plant-based,processed,vegan-friendly",trimolin,trimoline,invertsocker;trimolin,Sötningsmedel.,Sweetener.,year-round,ambient,g,budget,29,low,draft,2025-12-13 00:00:00,2025-12-13 00:00:00,ai-batch,,1,0
italian-seasoning,italiensk örtkrydda,italian seasoning,spice/blend,"plant-based,vegan-friendly",italiensk krydda,italian seasoning herbs,italiensk krydda seasoning,Oregano basilika timjan,Oregano basil thyme,year-round,ambient,g,premium,120,low,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
jackfruit,jackfrukt,jackfruit,fruit/exotic,"plant-based,vegan-friendly",jackfruit,,jackfruit;jackfrukt,Exotisk frukt.,Exotic fruit.,year-round,ambient,g,medium,70,medium,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
jackfruit-canned,jackfruit på burk,canned jackfruit,protein/plant-based,"plant-based,processed,vegan-friendly",,young jackfruit,jackfruit,Växtbaserat protein.,Plant-based protein.,year-round,ambient,g,medium,60,low,draft,2025-12-13 00:00:00,2025-12-13 00:00:00,ai-batch,,1,0
jackfruit-young,ung jackfrukt,young jackfruit,protein/plant-based,"needs-cooking,plant-based,vegan-friendly",grön jackfrukt;jackfruit i saltlag,green jackfruit;jackfruit in brine,ungjackfrukt,Köttsubstitut för pulled/stuvat,Meat substitute for pulled/stews,year-round,ambient,g,budget,26,low,draft,2025-12-13 00:00:00,2025-12-13 00:00:00,ai-claude,,1,0
jalapeno,jalapeño,jalapeno,vegetable/fruit-veg,"is-spicy,nightshade,plant-based,vegan-friendly",jalapenopeppar,jalapeño pepper,jalapeno;jalapeño,Lagom stark mexikansk chili. God inlagd.,Medium hot Mexican chili. Great pickled.,year-round,refrigerated,st,medium,43,low,draft,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
jasmine-rice,jasminris,jasmine rice,grain/whole,"plant-based,vegan-friendly",thairis;doftris,Thai rice,jasminris;thairis,Fullkorn.,Whole grain.,year-round,ambient,g,medium,39,low,validated,2025-12-13 00:00:00,2025-12-13 00:00:00,ai-batch,,1,0
jellyfish,manet,jellyfish,protein/seafood/shellfish,"animal-product,needs-cooking,seafood",saltad manet,salted jellyfish,manet,Skaldjur. Förvaras kallt.,Shellfish.,year-round,refrigerated,g,premium,210,low,draft,2025-12-07 00:00:00,2025-12-07 00:00:00,ai-claude,,1,0
jerk-seasoning,jerk krydda,jerk seasoning,spice/blend,"nightshade,plant-based,vegan-friendly",jerk jamaicansk,jerk seasoning jamaican,jerk krydda jamaican,Jamaicansk kryddblandning,Jamaican spice blend,year-round,ambient,g,premium,110,medium,draft,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
jerusalem-artichoke,jordärtskocka,jerusalem artichoke,vegetable/root,"plant-based,vegan-friendly",topinambur;jordärtskockor,sunchoke,jordärtskocka;topinambur,Nötig smak. Varning: kan ge gaser!,Nutty flavor. Warning: can cause gas!,autumn,refrigerated,kg,medium,39,low,validated,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
john-dory,sanktpetersfisk,john dory,protein/seafood/fish,"animal-product,fish,needs-cooking,seafood",saint-pierre,saint pierre,sanktpetersfisk,Fisk. Förvaras kallt.,Fish.,year-round,refrigerated,g,premium,160,medium,draft,2025-12-07 00:00:00,2025-12-07 00:00:00,ai-claude,,1,0
juniper-berries,enbär,juniper berries,spice/ground,"plant-based,vegan-friendly",enbär en,juniper berries,enbär juniper berries,Till vilt och surkål,For game and sauerkraut,year-round,ambient,g,medium,100,low,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
kaffir-lime-leaves,kaffirlimeblad,kaffir lime leaves,spice/herb-fresh,"plant-based,vegan-friendly",kaffirlimeblad limeblad,kaffir lime leaves makrut,kaffirlimeblad kaffir lime,Thai curries,Thai curries,year-round,frozen,st,budget,31,high,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
kahlua,kahlúa,kahlúa,other/beverage,"contains-alcohol,plant-based,vegan-friendly",kaffelikör,coffee liqueur,kahlua,Mexikansk kaffelikör,Mexican coffee liqueur,year-round,ambient,ml,medium,70,low,draft,2025-12-13 00:00:00,2025-12-13 00:00:00,ai-claude,,1,0
kale,grönkål,kale,vegetable/leaf,"plant-based,vegan-friendly",svartkål;lockig kål,curly kale,grönkål;kale;svartkål,Supernyttig vintergrönsak. God i smoothie eller stekt.,Super healthy winter vegetable. Great in smoothie or fried.,winter,refrigerated,bunch,medium,50,low,validated,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
kale-tuscan,toscansk kål,tuscan kale,vegetable/leaf,"plant-based,vegan-friendly",cavolo nero;palmkål,cavolo nero;lacinato kale,toscansk kål;cavolo nero;palmkål,Mörkgrön italiensk kål. Mildare än vanlig grönkål.,Dark green Italian kale. Milder than regular kale.,year-round,refrigerated,bunch,budget,34,low,validated,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
tube-caviar,kaviar på tub,swedish caviar spread,protein/seafood/fish,"animal-product,fish,processed,seafood",kalles;smörgåskaviar,kaviar;tube caviar,kalles;kaviar,Fisk. Förvaras kallt.,Fish.,year-round,refrigerated,g,medium,80,low,draft,2025-12-13 00:00:00,2025-12-13 00:00:00,ai-batch,,1,0
kamut,kamut,kamut,grain/whole,"contains-gluten,plant-based,vegan-friendly",khorasan;khorasanvete,khorasan wheat,kamut khorasan,Stort urkorn,Large ancient grain,year-round,ambient,g,medium,42,low,draft,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
kamut-flour,kamutmjöl,kamut flour,grain/flour/gluten-containing,"contains-gluten,plant-based,vegan-friendly",khorasanmjöl,khorasan flour;kamut flour,kamutmjöl kamut khorasan,Urvetesort,Ancient wheat variety,year-round,ambient,g,budget,35,low,draft,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
kefir,kefir,kefir,protein/dairy,"animal-product,contains-lactose,dairy",mjölkkefir;probiotisk mjölk,milk kefir;kefir drink,kefir,Mejeriprodukt. Förvaras kallt.,Dairy product.,year-round,refrigerated,ml,medium,49,medium,draft,2025-12-07 00:00:00,2025-12-07 00:00:00,ai-claude,,1,0
ketchup,ketchup,ketchup,other/condiment,"nightshade,plant-based,processed,vegan-friendly",tomatketchup;tomatoketchup,tomato ketchup,ketchup tomatketchup,Klassisk kondiment,Classic condiment,year-round,ambient,ml,medium,50,low,draft,2024-12-07 00:00:00,2024-12-07 00:00:00,ai-claude,,1,0
kidney-beans-canned,kidneybönor burk,canned kidney beans,vegetable/legume,"plant-based,processed,vegan-friendly",röda bönor burk,canned red kidney beans,kidneybönor;röda bönor;kidney beans,Klassiker i chili con carne och bönsallad.,Classic in chili con carne and bean salad.,year-round,ambient,st,budget,29,low,draft,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
kidney-beans-dried,torkade kidneybönor,dried kidney beans,vegetable/legume,"needs-cooking,plant-based,vegan-friendly",röda bönor torra,dried red kidney beans,torkadekidneybonor,Kräver blötläggning,Requires soaking,year-round,ambient,g,budget,25,low,draft,2025-12-13 00:00:00,2025-12-13 00:00:00,ai-claude,,1,0
kimchi,kimchi,kimchi,other/condiment,"animal-product,fish,is-spicy,seafood",koreansk kimchi;fermenterad kål,korean kimchi;fermented cabbage,kimchi koreansk fermenterad,Koreansk fermenterad kål,Korean fermented cabbage,year-round,refrigerated,g,medium,50,low,draft,2024-12-07 00:00:00,2024-12-07 00:00:00,ai-claude,,1,0
king-crab,kungskrabba,king crab,protein/seafood/shellfish,"animal-product,crustacean,needs-cooking,seafood",kamtjatkakrabba;röd kungskrabba,red king crab;Alaskan king crab,kungskrabba,Skaldjur. Förvaras fryst.,Shellfish.,year-round,frozen,g,premium,310,high,draft,2025-12-07 00:00:00,2025-12-07 00:00:00,ai-claude,,1,0
king-oyster,kungsmussling,king oyster mushroom,vegetable/mushroom,"plant-based,vegan-friendly",eringii;kungsmussla,king trumpet;eryngii,kungsmussling;eringii,Stor och köttig. Utmärkt vegetarisk ersättning.,Large and meaty. Excellent vegetarian substitute.,year-round,refrigerated,st,medium,100,low,validated,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
kingfish,kungsfisk,kingfish,protein/seafood/fish,"animal-product,fish,needs-cooking,seafood",yellowtail kingfish,yellowtail kingfish;hiramasa,kungsfisk,Fisk. Förvaras kallt.,Fish.,year-round,refrigerated,g,premium,200,medium,draft,2025-12-07 00:00:00,2025-12-07 00:00:00,ai-claude,,1,0
kirsch,kirsch,kirsch,other/beverage,"contains-alcohol,plant-based,vegan-friendly",kirschwasser;körsbärsbrännvin,cherry brandy;Kirschwasser,kirsch,För fondue och bakning,For fondue and baking,year-round,ambient,ml,medium,50,low,draft,2025-12-13 00:00:00,2025-12-13 00:00:00,ai-claude,,1,0
kiwi,kiwi,kiwi,fruit/exotic,"plant-based,vegan-friendly",grön kiwi;gul kiwi;kiwifrukt;golden kiwi,kiwifruit;kiwi fruit;green kiwi;gold kiwi,äpple apple äpplen,"Vanlig frukt, många sorter","Common fruit, many varieties",year-round,refrigerated,st,medium,70,low,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
kohlrabi,kålrabbi,kohlrabi,vegetable/cruciferous,"plant-based,vegan-friendly",kålrabbi,kohlrabi,kålrabbi;kohlrabi,Kan ätas rå eller tillagad. Mild kålsmak.,Can be eaten raw or cooked. Mild cabbage flavor.,year-round,refrigerated,st,budget,31,low,validated,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
kombu,kombu,kombu seaweed,vegetable/leaf,"plant-based,vegan-friendly",tång;sjögräs,kelp;seaweed,kombu;tång;kelp,Bladgrönsak.,Leafy green.,year-round,ambient,g,medium,60,low,validated,2025-12-13 00:00:00,2025-12-13 00:00:00,ai-batch,,1,0
konjac,konjakrot,konjac,vegetable/root,"plant-based,vegan-friendly",konjaku;shirataki,konjac root;devil's tongue,konjac;konjakrot,Lågkalorirot för shirataki-nudlar.,Low-calorie root for shirataki noodles.,year-round,ambient,st,budget,28,low,validated,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
kumquat,kumquat,kumquat,fruit/citrus,"plant-based,vegan-friendly",kumquats;små apelsiner,,kumquat;kumquats;små apelsiner,Citrusfrukt.,Citrus fruit.,winter,ambient,g,medium,36,medium,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
labneh,labneh,labneh,protein/dairy,"animal-product,contains-lactose,dairy,doesnt-freeze-well",libanesisk yoghurtost;labne,Lebanese strained yogurt;labne,labneh,Mejeriprodukt. Förvaras kallt.,Dairy product.,year-round,refrigerated,g,medium,70,medium,draft,2025-12-07 00:00:00,2025-12-07 00:00:00,ai-claude,,1,0
lamb-breast,lammbringa,lamb breast,protein/meat/lamb,"animal-product,lamb,meat,needs-cooking",bringa;ribbor,breast;riblets,lammbringa;bringa,Fet och smakrik. Braiseras eller röks.,Fatty and flavorful. Braised or smoked.,year-round,refrigerated,kg,premium,200,high,draft,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
lamb-chop,lammkotlett,lamb chop,protein/meat/lamb,"animal-product,lamb,meat,needs-cooking",kotlett;lamm rib,rib chop;cutlet,lammkotlett;lammchop,Elegant och mör. Grillas snabbt. Serveras rosa.,Elegant and tender. Grilled quickly. Served pink.,year-round,refrigerated,kg,premium,280,high,draft,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
lamb-fat,lammfett,lamb fat,fat/solid,"animal-product,lamb",lamm fett;fårfett,rendered lamb fat;mutton fat,lammfett lamb fat,Mellanöstern matlagning,Middle Eastern cooking,year-round,refrigerated,g,medium,100,medium,draft,2024-12-07 00:00:00,2024-12-07 00:00:00,ai-claude,,1,0
lamb-ground,lammfärs,ground lamb,protein/meat/lamb,"animal-product,lamb,meat,needs-cooking",mald lamm;kebabfärs,minced lamb;lamb mince,lammfars;maldlamm,Smakrik färs. Perfekt för kebab och köfte.,Flavorful mince. Perfect for kebab and kofta.,year-round,refrigerated,kg,premium,160,high,draft,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
lamb-kidney,lammnjure,lamb kidney,protein/meat/lamb,"animal-product,lamb,meat,needs-cooking",njure,lamb's kidney,lammnjure;njure,Används i brittiska pajer. Mild njursmak.,Used in British pies. Mild kidney flavor.,year-round,refrigerated,kg,premium,250,high,draft,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
lamb-leg,lammstek,leg of lamb,protein/meat/lamb,"animal-product,lamb,meat,needs-cooking",lammben;lammklubb;leg of lamb,leg roast;Easter lamb,lammlagg;pasklamm,Klassisk påskrätt. Helsteks långsamt med vitlök och rosmarin.,Classic Easter dish. Slow roasted with garlic and rosemary.,year-round,refrigerated,kg,premium,260,high,draft,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
lamb-lettuce,fältsallad,lamb's lettuce,vegetable/leaf,"doesnt-freeze-well,plant-based,vegan-friendly",maché;vårsallad;mâche,mache;corn salad,fältsallad;mâche;maché,Mild nötig smak. Tål kyla.,Mild nutty flavor. Tolerates cold.,year-round,refrigerated,bag,budget,31,low,validated,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
lamb-liver,lammlever,lamb liver,protein/meat/lamb,"animal-product,lamb,meat,needs-cooking",lever,lamb's liver,lammlever;lever,Mild smak jämfört med nötlever. Klassiskt med lök.,Mild flavor compared to beef liver. Classic with onions.,year-round,refrigerated,kg,premium,230,high,draft,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
lamb-loin,lammfilé,lamb loin,protein/meat/lamb,"animal-product,lamb,meat,needs-cooking",lammsadel;innerfilé;lammfile,loin fillet;tenderloin,lammfile;sadel,Möraste lammdelen. Steks snabbt. Serveras rosa.,Most tender lamb cut. Quick seared. Served pink.,year-round,refrigerated,kg,premium,250,high,draft,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
lamb-meat-generic,lammkött,lamb meat,protein/meat/lamb,"animal-product,lamb,meat,needs-cooking",lamm;lammbit;lammbitar,lamb;lamb pieces,lamm;lammkott,Generisk term för lammkött när styckdetalj inte anges i recept. Fungerar som fallback.,Generic term for lamb meat when cut is not specified in recipes. Works as fallback.,year-round,refrigerated,g,premium,230,high,verified,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-claude,system,1,0
lamb-merguez,merguez,merguez sausage,protein/meat/lamb,"animal-product,lamb,meat,needs-cooking,processed",lammkorv;nordafrikansk korv,spicy lamb sausage,merguez;lammkorv,Kryddstark nordafrikansk korv. Grillad eller stekt.,Spicy North African sausage. Grilled or pan-fried.,year-round,refrigerated,kg,premium,160,high,draft,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
lamb-neck,lammhals,lamb neck,protein/meat/lamb,"animal-product,lamb,meat,needs-cooking",hals;nackbit,neck fillet;scrag,lammhals;hals,Fantastisk för långkok. Rik på gelatin och smak.,Fantastic for slow cooking. Rich in gelatin and flavor.,year-round,refrigerated,kg,premium,290,high,draft,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
lamb-rack,lammracks,rack of lamb,protein/meat/lamb,"animal-product,lamb,meat,needs-cooking",carré,carré;crown roast,lammracks;carre,Festlig styckningsdel. Ugnsstekat med örtskorpa.,Festive cut. Oven roasted with herb crust.,year-round,refrigerated,kg,premium,220,high,draft,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
lamb-shank,lammskenben,lamb shank,protein/meat/lamb,"animal-product,lamb,meat,needs-cooking",lägg;skenben,shank;osso buco lamb,lammskenben;lagg,Imponerande presentation. Braiseras till mörhet.,Impressive presentation. Braised until tender.,year-round,refrigerated,kg,premium,230,high,draft,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
lamb-shoulder,lammbog,lamb shoulder,protein/meat/lamb,"animal-product,lamb,meat,needs-cooking",bog;pulled lamb,shoulder roast;braising lamb,lammbog;bog,Perfekt för långkok. Blir smörigt mör. Ekonomisk.,Perfect for slow cooking. Becomes butter tender. Economical.,year-round,refrigerated,kg,premium,190,high,draft,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
lamb-stew-meat,grytbitar lamm,lamb stew meat,protein/meat/lamb,"animal-product,lamb,meat,needs-cooking",grytlamm;tärnat,diced lamb;casserole lamb,lammgryta;tarnat,Tärnat för grytor och currys. Blandade delar.,Cubed for stews and curries. Mixed cuts.,year-round,refrigerated,kg,premium,170,high,draft,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
lamb-sweetbreads,lammbräss,lamb sweetbreads,protein/meat/lamb,"animal-product,lamb,meat,needs-cooking",bräss;körtel,thymus;ris de veau,lammbras;bras,Delikat inälvsmat. Blötläggs och steks krispigt.,Delicate offal. Soaked and pan-fried crispy.,year-round,refrigerated,kg,premium,180,high,draft,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
langoustine,havskräfta,langoustine,protein/seafood/shellfish,"animal-product,crustacean,needs-cooking,seafood",kejsarhummer;norway lobster;scampi,norway lobster;scampi;Dublin bay prawn,havskrafta,Skaldjur. Förvaras kallt.,Shellfish.,year-round,refrigerated,g,premium,290,medium,draft,2025-12-07 00:00:00,2025-12-07 00:00:00,ai-claude,,1,0
langres,langres,langres,protein/dairy,"animal-product,contains-lactose,dairy",fransk tvättost med grop,French Langres,langres,Mejeriprodukt. Förvaras kallt.,Dairy product.,year-round,refrigerated,g,medium,60,medium,draft,2025-12-07 00:00:00,2025-12-07 00:00:00,ai-claude,,1,0
lard,ister,lard,fat/solid,"animal-product,meat,pork",grisister;fläskfett;späck,pork fat;pork lard,ister lard grisfett,Traditionellt bakning,Traditional baking,year-round,refrigerated,g,medium,60,medium,draft,2024-12-07 00:00:00,2024-12-07 00:00:00,ai-claude,,1,0
lardo,lardo,lardo,protein/meat/pork,"animal-product,meat,needs-cooking,pork,processed",saltat fläsk,cured pork fat,lardo;fläskfett,Fläskkött. Förvaras kallt.,Pork.,year-round,refrigerated,g,premium,110,medium,draft,2025-12-13 00:00:00,2025-12-13 00:00:00,ai-batch,,1,0
lasagna-sheets,lasagneplattor,lasagna sheets,grain/pasta-bread,"contains-gluten,plant-based,vegan-friendly",lasagneplatta;lasanje,lasagne sheets;lasagna noodles,lasagne lasagneplattor pasta,Platta skivor till ugn,Flat sheets for oven,year-round,ambient,g,medium,40,low,draft,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
lassi,lassi,lassi,protein/dairy,"animal-product,contains-lactose,dairy,doesnt-freeze-well",indisk yoghurtdryck;mango lassi,Indian yogurt drink;mango lassi,lassi,Mejeriprodukt. Förvaras kallt.,Dairy product.,year-round,refrigerated,ml,medium,70,medium,draft,2025-12-07 00:00:00,2025-12-07 00:00:00,ai-claude,,1,0
lavash,lavash,lavash,grain/pasta-bread,"contains-gluten,plant-based,vegan-friendly",armeniskt bröd;lavashbröd,armenian flatbread,lavash armeniskt bröd,Tunt mellanösternbröd,Thin Middle Eastern bread,year-round,ambient,st,medium,47,low,draft,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
leek,purjolök,leek,vegetable/onion-family,"plant-based,vegan-friendly",purjo,leeks,purjolök;purjo;leek,Mildare än vanlig lök. Perfekt i soppa och gratäng.,Milder than regular onion. Perfect in soup and gratin.,year-round,refrigerated,st,budget,21,low,validated,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
lemon,citron,lemon,fruit/citrus,"plant-based,vegan-friendly",citroner;meyercitron;meyer citron;pressad citron;meyer lemon,,citron;citroner;lemon;meyer citron;meyer lemon;meyercitron;pressad citron,Citrusfrukt.,Citrus fruit.,year-round,ambient,g,medium,50,medium,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
lemon-balm-fresh,färsk citronmeliss,fresh lemon balm,spice/herb-fresh,"plant-based,vegan-friendly",citronmeliss,lemon balm melissa,citronmeliss lemon balm,Till te och desserter,For tea and desserts,summer,refrigerated,pot,budget,33,low,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
lemon-extract,citronextrakt,lemon extract,spice/ground,"contains-alcohol,plant-based,vegan-friendly",citron extrakt,lemon extract,citronextrakt lemon,Till bakning,For baking,year-round,ambient,ml,medium,40,medium,draft,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
lemon-juice,citronsaft,lemon juice,fruit/citrus,"plant-based,vegan-friendly",citronjuice,,citronjuice;citronsaft;lemon juice;pressad citron,Citrusfrukt.,Citrus fruit.,year-round,ambient,g,medium,50,medium,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
lemon-oil,citronolja,lemon oil,fat/oil,"plant-based,vegan-friendly",citroninfunderad olja,lemon infused oil,citronolja lemon oil,Smaksatt olja,Infused oil,year-round,ambient,ml,medium,100,low,validated,2024-12-07 00:00:00,2024-12-07 00:00:00,ai-claude,,1,0
lemon-pepper,citronpeppar,lemon pepper,spice/blend,"plant-based,vegan-friendly",citronpeppar,lemon pepper,citronpeppar lemon pepper,Till fisk och kyckling,For fish and chicken,year-round,ambient,g,medium,90,low,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
lemon-sole,bergtunga,lemon sole,protein/seafood/fish,"animal-product,fish,needs-cooking,seafood",skärflundra,lemon sole fillet,bergtunga,Fisk. Förvaras kallt.,Fish.,year-round,refrigerated,g,premium,190,low,draft,2025-12-07 00:00:00,2025-12-07 00:00:00,ai-claude,,1,0
lemon-zest,citronskal,lemon zest,fruit/citrus,"plant-based,vegan-friendly",rivet citronskal;citruszest;citronzest,,citronskal;citruszest;lemon zest;rivet citronskal,Citrusfrukt.,Citrus fruit.,year-round,ambient,g,medium,50,medium,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
lemongrass-dried,torkat citrongräs,dried lemongrass,spice/herb-dry,"plant-based,vegan-friendly",citrongräs torkat,lemongrass dried,citrongräs torkat dried,Till te och soppor,For tea and soups,year-round,ambient,g,medium,60,medium,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
lemongrass-fresh,färskt citrongräs,fresh lemongrass,spice/herb-fresh,"plant-based,vegan-friendly",citrongräs,lemongrass,citrongräs lemongrass citrongras,Thai och vietnamesisk mat,Thai and Vietnamese cuisine,year-round,refrigerated,st,budget,20,high,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
lemongrass-paste,citrongräspasta,lemongrass paste,spice/paste,"plant-based,processed,vegan-friendly",citrongräs krossad,lemongrass puree,citrongräs;pasta,Kryddpasta. Förvaras kallt.,Spice paste.,year-round,refrigerated,g,premium,120,low,draft,2025-12-13 00:00:00,2025-12-13 00:00:00,ai-batch,,1,0
lentils-beluga,belugalinser,beluga lentils,vegetable/legume,"plant-based,vegan-friendly",svarta linser,black lentils,belugalinser;svarta linser;beluga,Små svarta linser med nötig smak. Lyxig sallad.,Small black lentils with nutty flavor. Luxury salad.,year-round,ambient,bag,budget,35,low,validated,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
